#time FullDelay
0.0225824 0.0225824
0.0245872 0.0225872
0.0265872 0.0225872
0.0285872 0.0225872
0.0305872 0.0225872
0.0325872 0.0225872
0.0345872 0.0225872
0.0365872 0.0225872
0.0385872 0.0225872
0.0405872 0.0225872
0.0425872 0.0225872
0.0445872 0.0225872
0.0465872 0.0225872
0.0485872 0.0225872
0.0505872 0.0225872
0.0525872 0.0225872
0.0545872 0.0225872
0.0565872 0.0225872
0.0585872 0.0225872
0.0605872 0.0225872
0.0625872 0.0225872
0.0645872 0.0225872
0.0665872 0.0225872
0.0685872 0.0225872
0.0705872 0.0225872
0.0725872 0.0225872
0.0745872 0.0225872
0.0765872 0.0225872
0.0785872 0.0225872
0.0805872 0.0225872
0.0825872 0.0225872
0.0845872 0.0225872
0.0865872 0.0225872
0.0885872 0.0225872
0.0905872 0.0225872
0.0925872 0.0225872
0.0945872 0.0225872
0.0965872 0.0225872
0.0985872 0.0225872
0.100587 0.0225872
0.102587 0.0225872
0.104587 0.0225872
0.106587 0.0225872
0.108587 0.0225872
0.110587 0.0225872
0.112587 0.0225872
0.114587 0.0225872
0.116587 0.0225872
0.118587 0.0225872
0.120587 0.0225872
0.122587 0.0225872
0.124587 0.0225872
0.126587 0.0225872
0.128587 0.0225872
0.130587 0.0225872
0.132587 0.0225872
0.134587 0.0225872
0.136587 0.0225872
0.138587 0.0225872
0.140587 0.0225872
0.142587 0.0225872
0.144587 0.0225872
0.146587 0.0225872
0.148587 0.0225872
0.150587 0.0225872
0.152587 0.0225872
0.154587 0.0225872
0.156587 0.0225872
0.158587 0.0225872
0.160587 0.0225872
0.162587 0.0225872
0.164587 0.0225872
0.166587 0.0225872
0.168587 0.0225872
0.170587 0.0225872
0.172587 0.0225872
0.174587 0.0225872
0.176587 0.0225872
0.178587 0.0225872
0.180587 0.0225872
0.182587 0.0225872
0.184587 0.0225872
0.186587 0.0225872
0.188587 0.0225872
0.190587 0.0225872
0.192587 0.0225872
0.194587 0.0225872
0.196587 0.0225872
0.198587 0.0225872
0.200587 0.0225872
0.202587 0.0225872
0.204587 0.0225872
0.206587 0.0225872
0.208587 0.0225872
0.210587 0.0225872
0.212587 0.0225872
0.214587 0.0225872
0.216587 0.0225872
0.218587 0.0225872
0.220587 0.0225872
0.222587 0.0225872
0.224587 0.0225872
0.226587 0.0225872
0.228587 0.0225872
0.230587 0.0225872
0.232587 0.0225872
0.234587 0.0225872
0.236587 0.0225872
0.238587 0.0225872
0.240587 0.0225872
0.242587 0.0225872
0.244587 0.0225872
0.246587 0.0225872
0.248587 0.0225872
0.250587 0.0225872
0.252587 0.0225872
0.254587 0.0225872
0.256587 0.0225872
0.258587 0.0225872
0.260587 0.0225872
0.262587 0.0225872
0.264587 0.0225872
0.266587 0.0225872
0.268587 0.0225872
0.270587 0.0225872
0.272587 0.0225872
0.274587 0.0225872
0.276587 0.0225872
0.278587 0.0225872
0.280587 0.0225872
0.282587 0.0225872
0.284587 0.0225872
0.286587 0.0225872
0.288587 0.0225872
0.290587 0.0225872
0.292587 0.0225872
0.294587 0.0225872
0.296587 0.0225872
0.298587 0.0225872
0.300587 0.0225872
0.302587 0.0225872
0.304587 0.0225872
0.306587 0.0225872
0.308587 0.0225872
0.310587 0.0225872
0.312587 0.0225872
0.314587 0.0225872
0.316587 0.0225872
0.318587 0.0225872
0.320587 0.0225872
0.322587 0.0225872
0.324587 0.0225872
0.326587 0.0225872
0.328587 0.0225872
0.330587 0.0225872
0.332587 0.0225872
0.334587 0.0225872
0.336587 0.0225872
0.338587 0.0225872
0.340587 0.0225872
0.342587 0.0225872
0.344587 0.0225872
0.346587 0.0225872
0.348587 0.0225872
0.350587 0.0225872
0.352587 0.0225872
0.354587 0.0225872
0.356587 0.0225872
0.358587 0.0225872
0.360587 0.0225872
0.362587 0.0225872
0.364587 0.0225872
0.366587 0.0225872
0.368587 0.0225872
0.370587 0.0225872
0.372587 0.0225872
0.374587 0.0225872
0.376587 0.0225872
0.378587 0.0225872
0.380587 0.0225872
0.382587 0.0225872
0.384587 0.0225872
0.386587 0.0225872
0.388587 0.0225872
0.390587 0.0225872
0.392587 0.0225872
0.394587 0.0225872
0.396587 0.0225872
0.398587 0.0225872
0.400587 0.0225872
0.402587 0.0225872
0.404587 0.0225872
0.406587 0.0225872
0.408587 0.0225872
0.410587 0.0225872
0.412587 0.0225872
0.414587 0.0225872
0.416587 0.0225872
0.418587 0.0225872
0.420587 0.0225872
0.422587 0.0225872
0.424587 0.0225872
0.426587 0.0225872
0.428587 0.0225872
0.430587 0.0225872
0.432587 0.0225872
0.434587 0.0225872
0.436587 0.0225872
0.438587 0.0225872
0.440587 0.0225872
0.442587 0.0225872
0.444587 0.0225872
0.446587 0.0225872
0.448587 0.0225872
0.450587 0.0225872
0.452587 0.0225872
0.454587 0.0225872
0.456587 0.0225872
0.458587 0.0225872
0.460587 0.0225872
0.462587 0.0225872
0.464587 0.0225872
0.466587 0.0225872
0.468587 0.0225872
0.470587 0.0225872
0.472587 0.0225872
0.474587 0.0225872
0.476587 0.0225872
0.478587 0.0225872
0.480587 0.0225872
0.482587 0.0225872
0.484587 0.0225872
0.486587 0.0225872
0.488587 0.0225872
0.490587 0.0225872
0.492587 0.0225872
0.494587 0.0225872
0.496587 0.0225872
0.498587 0.0225872
0.500587 0.0225872
0.502587 0.0225872
0.504587 0.0225872
0.506587 0.0225872
0.508587 0.0225872
0.510587 0.0225872
0.512587 0.0225872
0.514587 0.0225872
0.516587 0.0225872
0.518587 0.0225872
0.520587 0.0225872
0.522587 0.0225872
0.524587 0.0225872
0.526587 0.0225872
0.528587 0.0225872
0.530587 0.0225872
0.532587 0.0225872
0.534592 0.022592
0.536592 0.022592
0.538592 0.022592
0.540592 0.022592
0.542592 0.022592
0.544592 0.022592
0.546592 0.022592
0.548592 0.022592
0.550592 0.022592
0.552592 0.022592
0.554592 0.022592
0.556592 0.022592
0.558592 0.022592
0.560592 0.022592
0.562592 0.022592
0.564592 0.022592
0.566592 0.022592
0.568592 0.022592
0.570592 0.022592
0.572592 0.022592
0.574592 0.022592
0.576592 0.022592
0.578592 0.022592
0.580592 0.022592
0.582592 0.022592
0.584592 0.022592
0.586592 0.022592
0.588592 0.022592
0.590592 0.022592
0.592592 0.022592
0.594592 0.022592
0.596592 0.022592
0.598592 0.022592
0.600592 0.022592
0.602592 0.022592
0.604592 0.022592
0.606592 0.022592
0.608592 0.022592
0.610592 0.022592
0.612592 0.022592
0.614592 0.022592
0.616592 0.022592
0.618592 0.022592
0.620592 0.022592
0.622592 0.022592
0.624592 0.022592
0.626592 0.022592
0.628592 0.022592
0.630592 0.022592
0.632592 0.022592
0.634592 0.022592
0.636592 0.022592
0.638592 0.022592
0.640592 0.022592
0.642592 0.022592
0.644592 0.022592
0.646592 0.022592
0.648592 0.022592
0.650592 0.022592
0.652592 0.022592
0.654592 0.022592
0.656592 0.022592
0.658592 0.022592
0.660592 0.022592
0.662592 0.022592
0.664592 0.022592
0.666592 0.022592
0.668592 0.022592
0.670592 0.022592
0.672592 0.022592
0.674592 0.022592
0.676592 0.022592
0.678592 0.022592
0.680592 0.022592
0.682592 0.022592
0.684592 0.022592
0.686592 0.022592
0.688592 0.022592
0.690592 0.022592
0.692592 0.022592
0.694592 0.022592
0.696592 0.022592
0.698592 0.022592
0.700592 0.022592
0.702592 0.022592
0.704592 0.022592
0.706592 0.022592
0.708592 0.022592
0.710592 0.022592
0.712592 0.022592
0.714592 0.022592
0.716592 0.022592
0.718592 0.022592
0.720592 0.022592
0.722592 0.022592
0.724592 0.022592
0.726592 0.022592
0.728592 0.022592
0.730592 0.022592
0.732592 0.022592
0.734592 0.022592
0.736592 0.022592
0.738592 0.022592
0.740592 0.022592
0.742592 0.022592
0.744592 0.022592
0.746592 0.022592
0.748592 0.022592
0.750592 0.022592
0.752592 0.022592
0.754592 0.022592
0.756592 0.022592
0.758592 0.022592
0.760592 0.022592
0.762592 0.022592
0.764592 0.022592
0.766592 0.022592
0.768592 0.022592
0.770592 0.022592
0.772592 0.022592
0.774592 0.022592
0.776592 0.022592
0.778592 0.022592
0.780592 0.022592
0.782592 0.022592
0.784592 0.022592
0.786592 0.022592
0.788592 0.022592
0.790592 0.022592
0.792592 0.022592
0.794592 0.022592
0.796592 0.022592
0.798592 0.022592
0.800592 0.022592
0.802592 0.022592
0.804592 0.022592
0.806592 0.022592
0.808592 0.022592
0.810592 0.022592
0.812592 0.022592
0.814592 0.022592
0.816592 0.022592
0.818592 0.022592
0.820592 0.022592
0.822592 0.022592
0.824592 0.022592
0.826592 0.022592
0.828592 0.022592
0.830592 0.022592
0.832592 0.022592
0.834592 0.022592
0.836592 0.022592
0.838592 0.022592
0.840592 0.022592
0.842592 0.022592
0.844592 0.022592
0.846592 0.022592
0.848592 0.022592
0.850592 0.022592
0.852592 0.022592
0.854592 0.022592
0.856592 0.022592
0.858592 0.022592
0.860592 0.022592
0.862592 0.022592
0.864592 0.022592
0.866592 0.022592
0.868592 0.022592
0.870592 0.022592
0.872592 0.022592
0.874592 0.022592
0.876592 0.022592
0.878592 0.022592
0.880592 0.022592
0.882592 0.022592
0.884592 0.022592
0.886592 0.022592
0.888592 0.022592
0.890592 0.022592
0.892592 0.022592
0.894592 0.022592
0.896592 0.022592
0.898592 0.022592
0.900592 0.022592
0.902592 0.022592
0.904592 0.022592
0.906592 0.022592
0.908592 0.022592
0.910592 0.022592
0.912592 0.022592
0.914592 0.022592
0.916592 0.022592
0.918592 0.022592
0.920592 0.022592
0.922592 0.022592
0.924592 0.022592
0.926592 0.022592
0.928592 0.022592
0.930592 0.022592
0.932592 0.022592
0.934592 0.022592
0.936592 0.022592
0.938592 0.022592
0.940592 0.022592
0.942592 0.022592
0.944592 0.022592
0.946592 0.022592
0.948592 0.022592
0.950592 0.022592
0.952592 0.022592
0.954592 0.022592
0.956592 0.022592
